employee_id,medical_plan,dental_plan,vision_plan,retirement_401k,employee_premium,employer_premium
E0417,Basic PPO,Yes,Yes,Yes,120,350
E0418,Standard PPO,No,No,No,180,500
E0419,HDHP,No,Yes,No,90,300
E0420,Standard PPO,Yes,No,Yes,180,500
E0421,Standard PPO,No,Yes,Yes,180,500
E0422,Basic PPO,Yes,No,No,120,350
E0423,Standard PPO,Yes,No,No,180,500
E0424,Standard PPO,Yes,Yes,Yes,180,500
E0425,Standard PPO,Yes,Yes,Yes,180,500
E0426,Standard PPO,No,Yes,Yes,180,500
E0427,Standard PPO,No,No,Yes,180,500
E0428,Basic PPO,Yes,Yes,No,120,350
E0429,Standard PPO,No,Yes,Yes,180,500
E0430,Premium PPO,Yes,Yes,No,260,750
E0431,HDHP,Yes,Yes,Yes,90,300
E0432,Standard PPO,No,No,No,180,500
E0433,Premium PPO,Yes,Yes,Yes,260,750
E0434,Premium PPO,Yes,Yes,Yes,260,750
E0435,Standard PPO,Yes,Yes,Yes,180,500
E0436,Standard PPO,Yes,Yes,Yes,180,500
E0437,Premium PPO,Yes,Yes,Yes,260,750
E0438,Basic PPO,Yes,Yes,Yes,120,350
E0439,Standard PPO,No,Yes,Yes,180,500
E0440,Basic PPO,Yes,Yes,Yes,120,350
E0441,Standard PPO,Yes,Yes,Yes,180,500
E0442,Basic PPO,Yes,Yes,Yes,120,350
E0443,Premium PPO,Yes,Yes,Yes,260,750
E0444,Standard PPO,Yes,No,Yes,180,500
E0445,Standard PPO,No,Yes,Yes,180,500
E0446,Basic PPO,Yes,Yes,No,120,350
E0447,Premium PPO,No,Yes,Yes,260,750
E0448,Standard PPO,No,Yes,No,180,500
E0449,Standard PPO,Yes,Yes,Yes,180,500
E0450,HDHP,Yes,Yes,Yes,90,300
E0451,Premium PPO,Yes,No,No,260,750
E0452,Standard PPO,No,Yes,No,180,500
E0453,Basic PPO,No,Yes,No,120,350
E0454,HDHP,No,Yes,Yes,90,300
E0455,Standard PPO,Yes,Yes,No,180,500
E0456,Basic PPO,Yes,Yes,Yes,120,350
E0457,Basic PPO,Yes,Yes,No,120,350
E0458,HDHP,Yes,No,Yes,90,300
E0459,Standard PPO,Yes,No,No,180,500
E0460,Premium PPO,Yes,Yes,Yes,260,750
E0461,Basic PPO,Yes,Yes,Yes,120,350
E0462,Basic PPO,Yes,Yes,No,120,350
E0463,Premium PPO,Yes,Yes,No,260,750
E0464,HDHP,No,Yes,Yes,90,300
E0465,Standard PPO,No,Yes,No,180,500
E0466,Basic PPO,Yes,Yes,Yes,120,350
E0467,Standard PPO,Yes,No,No,180,500
E0468,Basic PPO,Yes,Yes,No,120,350
E0469,HDHP,Yes,Yes,Yes,90,300
E0470,Standard PPO,Yes,Yes,Yes,180,500
E0471,Standard PPO,No,Yes,Yes,180,500
E0472,HDHP,Yes,Yes,Yes,90,300
E0473,Basic PPO,Yes,Yes,Yes,120,350
E0474,Basic PPO,Yes,Yes,Yes,120,350
E0475,Premium PPO,Yes,Yes,Yes,260,750
E0476,Basic PPO,Yes,Yes,No,120,350
E0477,Premium PPO,Yes,Yes,Yes,260,750
E0478,Basic PPO,Yes,Yes,Yes,120,350
E0479,Basic PPO,No,Yes,No,120,350
E0480,HDHP,Yes,Yes,Yes,90,300
E0481,Standard PPO,Yes,Yes,No,180,500
E0482,Basic PPO,Yes,Yes,No,120,350
E0483,Basic PPO,Yes,Yes,Yes,120,350
E0484,Basic PPO,No,Yes,Yes,120,350
E0485,Basic PPO,No,Yes,Yes,120,350
E0486,Standard PPO,No,Yes,Yes,180,500
E0487,Premium PPO,Yes,No,Yes,260,750
E0488,Standard PPO,Yes,Yes,No,180,500
E0489,Standard PPO,Yes,Yes,No,180,500
E0490,Standard PPO,Yes,Yes,Yes,180,500
E0491,Standard PPO,Yes,Yes,No,180,500
E0492,Premium PPO,Yes,No,No,260,750
E0493,Standard PPO,Yes,Yes,Yes,180,500
E0494,Standard PPO,No,Yes,No,180,500
E0495,Basic PPO,No,Yes,Yes,120,350
E0496,Standard PPO,Yes,No,Yes,180,500
E0497,Premium PPO,Yes,Yes,No,260,750
E0498,Premium PPO,No,Yes,Yes,260,750
E0499,Standard PPO,Yes,Yes,Yes,180,500
E0500,Basic PPO,Yes,No,Yes,120,350
E0501,Basic PPO,No,Yes,Yes,120,350
E0502,Basic PPO,Yes,No,Yes,120,350
E0503,Basic PPO,No,Yes,Yes,120,350
E0504,Premium PPO,Yes,Yes,Yes,260,750
E0505,Basic PPO,Yes,No,Yes,120,350
E0506,Basic PPO,Yes,Yes,Yes,120,350
E0507,Basic PPO,Yes,Yes,Yes,120,350
E0508,Standard PPO,Yes,Yes,Yes,180,500
E0509,Standard PPO,Yes,Yes,Yes,180,500
E0510,Basic PPO,Yes,No,No,120,350
E0511,Standard PPO,No,No,No,180,500
E0512,Standard PPO,No,Yes,Yes,180,500
E0513,Premium PPO,No,Yes,Yes,260,750
E0514,Basic PPO,Yes,Yes,Yes,120,350
E0515,Premium PPO,Yes,Yes,Yes,260,750
E0516,Standard PPO,Yes,No,No,180,500
E0517,Basic PPO,Yes,Yes,No,120,350
E0518,Basic PPO,No,Yes,Yes,120,350
E0519,HDHP,Yes,No,Yes,90,300
E0520,Premium PPO,Yes,No,Yes,260,750
E0521,Standard PPO,Yes,Yes,Yes,180,500
E0522,Basic PPO,Yes,Yes,No,120,350
E0523,Standard PPO,Yes,Yes,Yes,180,500
E0524,Standard PPO,No,No,No,180,500
E0525,Basic PPO,Yes,Yes,No,120,350
E0526,Premium PPO,Yes,Yes,Yes,260,750
E0527,Premium PPO,Yes,No,Yes,260,750
E0528,HDHP,No,Yes,No,90,300
E0529,Premium PPO,Yes,No,Yes,260,750
E0530,Standard PPO,Yes,Yes,No,180,500
E0531,Standard PPO,Yes,Yes,Yes,180,500
E0532,Standard PPO,Yes,No,Yes,180,500
E0533,Premium PPO,Yes,No,Yes,260,750
E0534,Standard PPO,No,Yes,No,180,500
E0535,Premium PPO,Yes,Yes,No,260,750
E0536,Basic PPO,No,Yes,No,120,350
E0537,Standard PPO,Yes,Yes,No,180,500
E0538,Basic PPO,Yes,Yes,No,120,350
E0539,Standard PPO,Yes,Yes,Yes,180,500
E0540,Basic PPO,Yes,Yes,Yes,120,350
E0541,Basic PPO,Yes,No,No,120,350
E0542,Basic PPO,Yes,Yes,Yes,120,350
E0543,Premium PPO,Yes,Yes,No,260,750
E0544,Basic PPO,Yes,No,No,120,350
E0545,Standard PPO,Yes,Yes,No,180,500
E0546,Standard PPO,Yes,Yes,Yes,180,500
E0547,Premium PPO,Yes,No,Yes,260,750
E0548,Premium PPO,Yes,No,No,260,750
E0549,Standard PPO,Yes,No,Yes,180,500
E0550,Basic PPO,Yes,No,No,120,350
E0551,Standard PPO,Yes,Yes,Yes,180,500
E0552,Standard PPO,Yes,Yes,Yes,180,500
E0553,Standard PPO,Yes,No,Yes,180,500
E0554,Basic PPO,Yes,Yes,No,120,350
E0555,Premium PPO,Yes,Yes,Yes,260,750
E0556,Standard PPO,Yes,Yes,No,180,500
E0557,Premium PPO,No,Yes,Yes,260,750
